Catalog economics sheet — what a book has to earn to be worth making
Part of the DraftToDone Operator Kit — https://drafttodone.io
,,,,,,,,,
HOW TO USE,"Fill one row per published book. Update the sales columns at 30 and 90 days. The Verdict column is what stops you repeating a niche that does not pay.",,,,,,,,
,,,,,,,,,
YOUR COST BASE,,,,,,,,,
Item,Value,Notes,,,,,,,
Cost per book credit (EUR),2.50,"Weekly plan: 14.99 / 6 credits. Yearly: 390 / 312 = 1.25",,,,,,
Your time per book (hours),1.5,"Review, metadata, upload. Be honest — this is the real cost.",,,,,,
Your hourly value (EUR),25,"What an hour of your time is worth elsewhere",,,,,,
TOTAL COST PER BOOK (EUR),40.00,"= credit cost + (hours x hourly value). Edit the formula for your numbers.",,,,,,
,,,,,,,,,
BREAK-EVEN,,,,,,,,,
Avg royalty per sale (EUR),2.80,"Set this from your actual price and royalty band",,,,,,
SALES NEEDED TO BREAK EVEN,14,"= total cost per book / avg royalty. This is the number that matters.",,,,,,
,,,,,,,,,
THE CATALOG,,,,,,,,,
Book title,Niche,Pen name,Published,Price,Category,Sales @30d,Sales @90d,Royalty to date,Verdict
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
VERDICT KEY,,,,,,,,,
KEEP,"Beat break-even inside 90 days. Make three more books adjacent to this one.",,,,,,,,
WATCH,"Between half break-even and break-even. Give it one more title in the same niche before deciding.",,,,,,,,
KILL,"Under half break-even at 90 days. Stop this niche. Three dead books in one niche is the signal to leave.",,,,,,,,
,,,,,,,,,
THE RULES,,,,,,,,,
1,"Kill a niche after three books that go nowhere. Persistence in the wrong niche is the most expensive habit in publishing.",,,,,,,,
2,"When a book works, make the next three ADJACENT to it. Adjacent beats novel.",,,,,,,,
3,"Four columns beat a dashboard. If you stop filling this in, the catalog stops teaching you anything.",,,,,,,,
4,"Count your time. A book that breaks even on credits but cost you three hours did not break even.",,,,,,,,
